Flux (mg.cm-2.day-1),Discharge(103m3s-1),Coprostanol (?g/g),Epicoprostanol (?g/g),Ethylcoprostanol (?g/g),B-Sitosterol (?g/g),Stigmasterol (?g/g),Campesterol (?g/g),Cholesterol (?g/g),Total sterols (?g/g)
11.7,24.1,262.0,123.7,49.0,23.3,11.3,9.4,52.5,598.1
18.3,22.0,757.2,131.5,71.3,81.4,20.3,27.8,199.8,1541.6
31.9,32.1,1556.9,150.6,306.0,186.7,52.0,51.2,487.7,3135.8
23.4,24.0,880.1,350.2,180.5,120.9,29.7,45.7,268.5,2205.4
54.4,46.1,17974.6,138.9,998.9,600.4,49.4,0.0,3724.7,26260.2
12.0,26.3,4044.5,3986.1,365.7,647.1,134.2,0.0,1255.9,12692.7
15.6,25.7,1584.3,874.5,148.6,201.6,34.8,74.3,522.2,3814.7
22.6,21.7,3488.0,332.7,204.2,308.4,52.3,84.2,701.1,5400.4
30.8,24.1,3215.0,323.5,315.1,174.5,21.4,74.7,602.5,5000.1
47.1,24.2,16245.1,502.0,2103.3,454.0,76.8,0.0,2688.9,24219.6
12.9,19.5,1625.7,663.3,188.8,170.4,61.0,61.1,455.5,3546.3
42.2,37.9,8814.3,269.7,1498.8,263.3,16.8,0.0,1362.7,13343.5
32.6,20.0,721.6,53.9,147.6,117.4,9.4,51.0,210.7,1548.3
16.4,22.7,501.9,139.3,92.1,68.5,25.8,21.8,140.3,1095.5
39.0,28.3,676.5,25.6,383.3,30.5,6.7,10.1,84.2,1607.8
100.0,25.1,5306.3,102.8,1357.3,849.4,23.5,64.8,2249.7,11464.3
72.3,27.4,2395.1,47.0,577.1,53.7,9.6,16.5,316.3,4050.8
3.5,3.2,0.008,0.010,0.120,0.894,0.512,0.811,0.932,3.6
3.4,3.0,0.013,0.013,0.013,0.200,0.191,0.175,0.285,1.1
0.5,1.8,0.012,0.018,0.024,1.065,0.843,0.615,1.125,4.2
7.1,0.4,0.012,0.019,0.009,1.115,0.829,0.785,1.348,4.9
3.4,3.6,0.364,0.594,1.065,16.326,12.475,13.640,17.264,70.0
0.3,2.5,0.138,0.262,0.545,8.264,5.385,4.690,7.236,31.7
6.4,4.2,0.755,0.845,1.200,26.300,8.351,11.000,25.450,89.4
5.1,4.5,0.512,0.454,0.340,19.521,6.777,8.485,31.215,74.2
7.9,2.0,1.664,2.084,1.491,9.662,7.897,5.919,22.307,68.2
1.9,1.1,0.480,0.745,0.000,2.044,1.277,1.353,3.919,17.8
6.2,7.6,1.500,1.200,1.811,32.658,10.452,11.216,33.932,120.6
1.3,4.3,0.017,0.035,0.022,0.368,0.000,2.000,0.275,3.0
7.5,4.3,0.870,1.384,1.200,41.045,8.831,16.710,101.465,210.1
6.0,8.4,0.350,0.750,0.430,6.791,2.446,2.154,6.742,28.7
7.6,5.8,0.206,0.204,0.012,6.122,3.946,4.005,11.636,37.4
9.3,1.0,0.745,1.499,1.377,8.085,5.356,6.425,8.792,43.4
2.9,1.1,0.256,0.063,0.740,0.943,1.263,0.866,2.349,11.2
3.5,0.7,0.158,0.255,0.500,8.224,6.132,4.484,12.678,44.2
2.6,2.3,0.343,0.558,0.755,5.345,3.634,2.619,7.935,25.9
2.7,3.0,0.268,0.051,0.965,0.622,0.579,0.324,0.609,4.5
1.8,5.6,0.275,0.273,1.608,1.577,2.108,1.030,1.564,15.9
1.8,4.4,0.033,0.056,1.266,3.276,3.510,1.526,1.523,13.5
2.6,5.0,0.126,0.024,0.596,0.873,0.675,0.546,1.069,5.0
16.8,8.3,0.535,0.486,0.916,14.081,9.669,7.650,12.026,56.9
3.1,6.5,0.416,0.122,1.550,6.534,10.908,3.985,3.618,31.0
